,id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction,churn
48872,199088,Female,Loyal Customer,52,Personal Travel,Eco,1747,4,1,4,4,3,4,3,2,2,4,2,4,2,3,24,17.0,dissatisfied,Churn
86371,194316,Female,Loyal Customer,8,Personal Travel,Eco,1072,3,5,3,3,5,3,5,5,4,3,4,4,4,5,0,0.0,dissatisfied,Churn
1328,114737,Male,Loyal Customer,17,Personal Travel,Eco Plus,302,3,5,3,3,4,3,4,4,4,4,3,4,3,4,0,0.0,dissatisfied,Churn
88943,191143,Male,disloyal Customer,42,Business travel,Eco,328,1,2,1,3,4,1,1,4,2,4,4,2,4,4,0,4.0,dissatisfied,Not Churn
38699,182882,Female,Loyal Customer,66,Business travel,Business,1892,1,0,0,2,5,3,2,1,1,0,1,1,1,3,0,0.0,dissatisfied,Churn
53037,189136,Female,Loyal Customer,29,Business travel,Eco Plus,992,3,2,2,2,3,2,3,3,1,4,4,1,3,3,96,87.0,dissatisfied,Churn
8877,147893,Female,Loyal Customer,52,Personal Travel,Eco,334,3,1,3,4,1,4,4,5,5,3,5,4,5,3,0,0.0,dissatisfied,Churn
102802,192366,Female,disloyal Customer,44,Business travel,Business,628,2,2,2,5,5,2,5,5,5,2,5,5,4,5,0,0.0,dissatisfied,Churn
52461,191116,Male,Loyal Customer,44,Personal Travel,Eco,889,3,5,3,5,4,3,4,4,4,4,5,5,4,4,0,0.0,dissatisfied,Not Churn
67223,152644,Male,Loyal Customer,12,Personal Travel,Eco,2454,4,1,4,3,5,4,5,5,4,5,2,1,2,5,15,0.0,dissatisfied,Churn
93933,218693,Female,Loyal Customer,54,Business travel,Business,3305,2,2,2,2,2,2,3,2,2,3,2,1,2,4,0,0.0,dissatisfied,Churn
78910,188808,Female,Loyal Customer,16,Business travel,Eco Plus,1189,5,2,2,2,5,4,2,5,2,3,3,2,4,5,0,0.0,dissatisfied,Churn
33375,141676,Male,disloyal Customer,20,Business travel,Eco,337,3,1,3,3,4,3,4,4,2,4,2,4,3,4,4,1.0,dissatisfied,Churn
9221,162325,Male,Loyal Customer,62,Personal Travel,Eco,1744,2,1,2,3,1,2,5,1,4,3,2,3,3,1,0,0.0,dissatisfied,Not Churn
45893,150707,Female,Loyal Customer,57,Personal Travel,Eco,2446,4,5,3,2,5,5,4,5,5,3,5,5,5,5,0,0.0,dissatisfied,Churn
68944,104509,Female,disloyal Customer,50,Business travel,Eco,201,3,0,3,1,5,3,5,5,5,2,5,2,4,5,3,0.0,dissatisfied,Not Churn
18994,198888,Female,Loyal Customer,29,Personal Travel,Eco,1444,1,0,2,2,5,2,2,5,5,4,4,5,4,5,19,36.0,dissatisfied,Not Churn
25935,190386,Female,Loyal Customer,43,Personal Travel,Eco Plus,2237,2,4,2,3,5,4,5,1,1,2,5,5,1,5,0,0.0,dissatisfied,Churn
76109,186247,Female,Loyal Customer,50,Business travel,Business,1428,3,4,2,2,5,4,3,3,3,3,3,2,3,2,45,54.0,dissatisfied,Churn
84573,116633,Male,disloyal Customer,38,Business travel,Eco,404,4,0,5,4,3,5,2,3,3,2,3,1,4,3,0,0.0,dissatisfied,Not Churn
1691,132866,Female,Loyal Customer,64,Personal Travel,Eco,1119,3,3,2,4,5,4,3,5,5,2,5,2,5,1,0,0.0,dissatisfied,Churn
102906,186124,Male,disloyal Customer,38,Business travel,Business,419,4,4,4,3,4,4,4,4,3,5,5,5,4,4,0,0.0,dissatisfied,Not Churn
902,145341,Female,Loyal Customer,58,Business travel,Eco Plus,862,4,2,2,2,4,3,3,4,4,4,4,1,4,2,0,3.0,dissatisfied,Churn
64379,211820,Male,Loyal Customer,55,Business travel,Business,2679,3,2,2,2,4,2,2,3,3,3,3,3,3,3,2,1.0,dissatisfied,Not Churn
53535,100899,Male,disloyal Customer,21,Business travel,Eco,316,3,0,3,1,1,3,1,1,5,4,4,3,4,1,0,0.0,dissatisfied,Not Churn
56364,164771,Male,Loyal Customer,52,Personal Travel,Business,1188,2,5,2,1,2,4,5,1,1,2,1,3,1,5,21,9.0,dissatisfied,Churn
31055,181198,Male,Loyal Customer,40,Business travel,Business,270,1,0,0,3,4,4,4,5,5,0,1,1,5,1,0,0.0,dissatisfied,Churn
10251,175484,Female,disloyal Customer,22,Business travel,Eco,813,1,2,2,3,4,2,4,4,4,2,5,4,5,4,0,0.0,dissatisfied,Churn
20270,211998,Female,disloyal Customer,35,Business travel,Business,912,2,2,2,1,3,2,4,3,3,4,5,5,5,3,0,0.0,dissatisfied,Churn
79033,151828,Female,Loyal Customer,19,Personal Travel,Eco,679,1,4,1,5,3,1,2,3,4,5,5,4,5,3,0,9.0,dissatisfied,Churn
58070,206915,Male,Loyal Customer,67,Personal Travel,Eco,404,3,5,4,3,4,4,4,4,4,2,4,5,4,4,10,6.0,dissatisfied,Churn
52523,190646,Male,Loyal Customer,30,Personal Travel,Eco Plus,762,4,5,4,4,3,4,3,3,4,5,3,2,5,3,11,14.0,dissatisfied,Churn
103520,202420,Male,Loyal Customer,48,Personal Travel,Eco,770,3,4,3,2,2,3,2,2,3,3,5,3,5,2,0,0.0,dissatisfied,Churn
56112,190748,Male,Loyal Customer,50,Business travel,Business,971,1,5,4,5,5,4,4,1,1,1,1,1,1,2,4,16.0,dissatisfied,Churn
102692,218416,Male,Loyal Customer,15,Personal Travel,Eco,1149,2,5,2,3,1,2,1,1,4,5,4,5,4,1,0,9.0,dissatisfied,Not Churn
56169,203596,Male,Loyal Customer,36,Business travel,Business,1504,1,2,2,2,1,4,3,1,1,1,1,2,1,1,2,0.0,dissatisfied,Churn
53633,115426,Female,Loyal Customer,7,Personal Travel,Eco,692,3,4,3,2,1,3,1,1,5,2,5,3,5,1,0,23.0,dissatisfied,Not Churn
