,id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction,churn
5632,154987,Male,Loyal Customer,32,Business travel,Eco,930,2,5,3,5,2,2,2,2,3,1,3,1,4,2,54,70.0,dissatisfied,Churn
38077,176062,Male,Loyal Customer,70,Business travel,Eco,280,2,4,4,4,2,2,2,2,2,2,3,4,3,2,0,0.0,dissatisfied,Not Churn
2040,174060,Male,Loyal Customer,60,Business travel,Business,370,2,1,2,1,1,3,3,2,2,1,2,3,2,4,4,1.0,dissatisfied,Churn
80412,111047,Male,Loyal Customer,42,Personal Travel,Eco,563,2,5,3,3,4,3,4,4,5,2,4,3,5,4,0,0.0,dissatisfied,Churn
30482,172356,Female,Loyal Customer,56,Business travel,Eco,621,2,4,4,4,4,3,3,2,2,2,2,4,2,1,0,0.0,dissatisfied,Not Churn
5497,133110,Female,disloyal Customer,36,Business travel,Eco,689,4,4,4,3,3,4,3,3,1,4,3,3,2,3,0,0.0,dissatisfied,Not Churn
17642,124671,Male,Loyal Customer,55,Personal Travel,Eco,733,3,3,3,3,1,3,1,1,4,3,4,3,2,1,0,0.0,dissatisfied,Churn
20076,163936,Female,disloyal Customer,56,Business travel,Eco,249,3,0,3,3,2,3,2,2,2,3,1,3,1,2,1,3.0,dissatisfied,Churn
48111,141243,Male,Loyal Customer,26,Personal Travel,Eco,526,1,2,1,4,2,1,2,2,3,2,3,1,4,2,0,0.0,dissatisfied,Not Churn
74668,89346,Male,disloyal Customer,22,Business travel,Eco,1188,3,2,2,3,5,2,1,5,1,5,1,2,4,5,0,0.0,dissatisfied,Not Churn
41915,119469,Male,disloyal Customer,26,Business travel,Business,921,2,2,2,2,1,2,1,1,3,3,5,5,4,1,0,0.0,dissatisfied,Churn
88208,184196,Male,disloyal Customer,35,Business travel,Business,2586,3,3,3,1,3,5,5,5,3,5,4,5,3,5,79,54.0,dissatisfied,Churn
16510,57093,Female,Loyal Customer,55,Business travel,Business,2541,1,0,0,4,5,3,4,5,5,0,5,4,5,2,0,3.0,dissatisfied,Not Churn
78681,62114,Male,Loyal Customer,12,Personal Travel,Eco,438,1,5,1,4,2,1,2,2,5,3,4,4,3,2,0,1.0,dissatisfied,Churn
5438,61483,Female,Loyal Customer,8,Personal Travel,Eco,691,3,4,3,3,3,3,3,3,3,2,4,5,5,3,0,2.0,dissatisfied,Not Churn
38995,117655,Female,Loyal Customer,64,Personal Travel,Eco,2565,3,3,3,3,4,3,5,5,5,3,5,5,5,3,0,0.0,dissatisfied,Churn
96651,141901,Male,Loyal Customer,43,Personal Travel,Eco,794,2,3,2,4,4,2,4,4,2,5,3,1,4,4,0,0.0,dissatisfied,Churn
38860,144690,Male,disloyal Customer,27,Business travel,Business,453,2,1,1,1,2,1,2,2,5,4,5,3,4,2,0,0.0,dissatisfied,Churn
101939,159598,Female,Loyal Customer,54,Business travel,Eco Plus,349,1,5,5,5,2,1,1,1,1,1,1,2,1,1,0,19.0,dissatisfied,Churn
25396,121919,Female,Loyal Customer,16,Personal Travel,Eco,447,2,5,2,1,3,2,4,3,3,3,5,3,4,3,0,0.0,dissatisfied,Not Churn
59644,86164,Female,Loyal Customer,53,Personal Travel,Eco Plus,977,3,5,3,3,5,4,5,5,5,3,5,4,5,5,0,0.0,dissatisfied,Churn
100253,156562,Male,disloyal Customer,37,Business travel,Eco,583,2,1,1,2,1,1,1,1,1,4,2,2,2,1,27,15.0,dissatisfied,Not Churn
11326,73745,Female,disloyal Customer,25,Business travel,Eco,474,3,0,3,4,3,3,3,3,3,4,2,2,4,3,0,0.0,dissatisfied,Not Churn
67999,144296,Male,disloyal Customer,38,Business travel,Eco,859,3,4,4,2,1,4,4,1,1,4,2,3,3,1,35,19.0,dissatisfied,Churn
1682,129658,Male,Loyal Customer,67,Business travel,Business,2726,1,2,3,2,2,3,4,1,1,1,1,3,1,2,2,17.0,dissatisfied,Not Churn
57999,137426,Female,Loyal Customer,40,Personal Travel,Eco,1532,3,5,2,2,1,2,1,1,3,5,3,4,5,1,1,0.0,dissatisfied,Not Churn
44309,56190,Male,disloyal Customer,24,Business travel,Eco,134,3,0,3,1,5,3,5,5,5,4,4,3,5,5,0,0.0,dissatisfied,Churn
92155,183788,Female,Loyal Customer,38,Business travel,Eco,355,4,4,4,4,4,4,4,4,1,4,3,3,3,4,4,8.0,dissatisfied,Churn
7708,77466,Female,disloyal Customer,32,Business travel,Eco,304,2,4,2,3,4,2,4,4,1,2,3,4,4,4,0,43.0,dissatisfied,Churn
14663,177320,Female,Loyal Customer,9,Personal Travel,Eco,449,1,1,1,4,5,1,1,5,2,3,3,3,4,5,0,8.0,dissatisfied,Not Churn
82217,183339,Female,Loyal Customer,7,Personal Travel,Eco,2300,2,4,1,1,4,1,4,4,5,4,5,5,4,4,38,14.0,dissatisfied,Churn
100228,179527,Female,Loyal Customer,52,Business travel,Eco,529,3,3,4,3,4,3,4,3,3,3,3,4,3,1,0,0.0,dissatisfied,Not Churn
69836,134199,Female,disloyal Customer,34,Business travel,Eco,447,2,0,2,4,4,2,4,4,2,3,4,4,2,4,0,0.0,dissatisfied,Not Churn
12974,62139,Female,disloyal Customer,36,Business travel,Eco,268,2,1,3,3,5,3,5,5,3,1,3,1,4,5,0,10.0,dissatisfied,Not Churn
61497,128720,Male,disloyal Customer,27,Business travel,Business,1120,4,3,3,3,4,3,4,4,4,2,4,4,5,4,0,0.0,dissatisfied,Churn
82509,101192,Male,Loyal Customer,59,Business travel,Eco,391,3,2,2,2,3,3,3,3,4,2,4,1,3,3,0,0.0,dissatisfied,Not Churn
31972,112230,Female,Loyal Customer,56,Personal Travel,Eco,1728,3,5,3,2,1,4,5,5,5,3,5,1,5,2,18,14.0,dissatisfied,Churn
6973,143870,Male,Loyal Customer,38,Business travel,Business,444,1,5,5,5,5,4,4,1,1,1,1,1,1,3,13,10.0,dissatisfied,Churn
89670,106034,Female,Loyal Customer,26,Personal Travel,Eco,89,3,4,3,5,2,3,3,2,4,2,5,5,4,2,0,0.0,dissatisfied,Churn
29420,88544,Female,Loyal Customer,19,Personal Travel,Eco,101,1,5,1,3,1,1,1,1,1,2,4,3,4,1,0,0.0,dissatisfied,Not Churn
48220,120182,Male,Loyal Customer,77,Business travel,Business,1629,3,4,3,3,3,2,2,3,3,3,3,3,3,4,0,6.0,dissatisfied,Not Churn
51925,67163,Male,disloyal Customer,38,Business travel,Eco,429,4,1,4,3,4,4,4,4,3,1,4,2,3,4,9,45.0,dissatisfied,Churn
29921,77192,Male,disloyal Customer,25,Business travel,Eco,241,3,2,3,3,2,3,2,2,2,2,3,1,4,2,0,0.0,dissatisfied,Not Churn
102213,108466,Male,Loyal Customer,70,Personal Travel,Eco,1208,3,1,3,4,2,3,2,2,2,4,4,4,3,2,0,0.0,dissatisfied,Churn
54605,70598,Female,Loyal Customer,47,Business travel,Business,461,2,5,5,5,1,4,3,2,2,1,2,3,2,3,0,0.0,dissatisfied,Churn
31533,91594,Female,Loyal Customer,42,Business travel,Business,2139,3,3,2,3,2,3,4,3,3,4,3,1,3,2,0,0.0,dissatisfied,Churn
25377,74587,Male,Loyal Customer,43,Business travel,Business,1024,2,2,2,2,3,4,3,2,2,2,2,4,2,3,9,0.0,dissatisfied,Churn
51238,184724,Female,disloyal Customer,30,Business travel,Business,2586,2,3,3,4,1,3,1,1,3,4,5,3,5,1,0,0.0,dissatisfied,Churn
56956,167126,Male,Loyal Customer,69,Personal Travel,Eco,495,3,5,3,5,5,3,5,5,4,5,4,3,5,5,21,9.0,dissatisfied,Not Churn
83519,116299,Female,disloyal Customer,47,Business travel,Eco,420,2,1,2,3,2,2,2,2,1,4,3,3,4,2,6,4.0,dissatisfied,Churn
73239,164726,Male,Loyal Customer,19,Personal Travel,Eco,1072,3,4,3,2,2,3,2,2,4,4,4,5,5,2,0,0.0,dissatisfied,Churn
75735,174979,Male,Loyal Customer,36,Business travel,Eco Plus,857,2,4,4,4,2,2,2,2,1,1,4,1,4,2,0,0.0,dissatisfied,Not Churn
62001,91987,Female,Loyal Customer,33,Business travel,Business,2873,2,3,3,3,2,4,3,2,2,2,2,2,2,1,0,0.0,dissatisfied,Not Churn
15735,95705,Female,Loyal Customer,24,Personal Travel,Eco,463,2,5,2,5,5,2,5,5,4,4,5,3,5,5,0,0.0,dissatisfied,Not Churn
40952,150895,Male,disloyal Customer,38,Business travel,Business,496,1,1,1,4,3,1,3,3,4,3,5,3,5,3,9,6.0,dissatisfied,Churn
73645,84216,Male,disloyal Customer,43,Business travel,Eco,697,2,2,2,2,3,2,3,3,1,1,5,4,2,3,40,24.0,dissatisfied,Churn
61763,121161,Female,Loyal Customer,41,Personal Travel,Eco,1061,4,4,4,4,4,4,2,4,3,4,4,4,5,4,7,0.0,dissatisfied,Churn
83577,134305,Male,Loyal Customer,38,Personal Travel,Eco,1823,3,3,4,4,2,4,2,2,4,5,3,3,3,2,0,0.0,dissatisfied,Churn
4363,164921,Female,Loyal Customer,23,Business travel,Business,3824,2,5,5,5,2,2,2,2,3,4,3,3,3,2,14,7.0,dissatisfied,Churn
