,id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction,churn
24872,97738,Male,Loyal Customer,39,Personal Travel,Eco,552,1,5,1,3,5,1,3,5,2,2,4,3,4,5,0,0.0,dissatisfied,Churn
15122,187576,Male,Loyal Customer,20,Personal Travel,Eco,414,4,5,4,1,3,4,3,3,5,5,5,3,5,3,0,0.0,dissatisfied,Not Churn
78250,113395,Female,Loyal Customer,60,Personal Travel,Eco,852,2,4,2,1,3,5,4,3,3,2,3,4,3,4,124,111.0,dissatisfied,Churn
64110,178741,Female,disloyal Customer,39,Business travel,Business,327,3,3,3,2,2,3,2,2,4,4,3,2,2,2,21,20.0,dissatisfied,Churn
38872,160014,Male,Loyal Customer,54,Business travel,Business,3667,4,1,1,1,5,3,4,4,4,4,4,3,4,2,0,9.0,dissatisfied,Churn
47741,109975,Female,Loyal Customer,56,Personal Travel,Eco,474,2,4,2,5,5,4,2,3,3,2,3,5,3,3,0,0.0,dissatisfied,Churn
66338,156576,Female,Loyal Customer,41,Business travel,Business,3091,3,5,5,5,2,3,3,3,3,3,3,2,3,3,0,0.0,dissatisfied,Churn
18668,88272,Male,Loyal Customer,9,Personal Travel,Eco,789,3,4,3,1,2,3,2,2,3,3,4,5,4,2,14,0.0,dissatisfied,Churn
44264,150077,Male,Loyal Customer,37,Personal Travel,Eco,2422,1,4,1,4,2,1,2,2,4,2,3,4,5,2,0,0.0,dissatisfied,Churn
89777,187780,Female,Loyal Customer,7,Personal Travel,Eco,2295,4,5,4,1,5,4,5,5,1,1,4,3,2,5,5,11.0,dissatisfied,Churn
96652,83656,Male,Loyal Customer,15,Personal Travel,Eco,383,2,4,2,5,5,2,5,5,4,5,5,3,5,5,0,10.0,dissatisfied,Churn
5210,201390,Female,Loyal Customer,49,Personal Travel,Eco Plus,1814,2,5,2,4,3,4,5,2,2,2,2,4,2,2,0,0.0,dissatisfied,Churn
68093,170879,Male,Loyal Customer,46,Personal Travel,Eco,883,1,2,1,1,4,1,4,4,4,2,4,3,3,4,0,0.0,dissatisfied,Churn
63127,176353,Male,Loyal Customer,21,Personal Travel,Eco,397,2,5,2,4,2,2,2,2,3,3,4,4,4,2,3,0.0,dissatisfied,Churn
64004,141425,Male,Loyal Customer,21,Personal Travel,Business,1438,3,2,3,4,5,3,5,5,3,3,4,1,3,5,20,36.0,dissatisfied,Churn
75447,84614,Male,Loyal Customer,15,Business travel,Eco,224,2,3,5,5,2,1,2,2,3,4,2,3,3,2,5,0.0,dissatisfied,Churn
14094,163504,Female,Loyal Customer,11,Business travel,Business,944,2,2,2,2,2,2,2,2,1,3,3,2,4,2,79,72.0,dissatisfied,Churn
