,id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction,churn
54997,64556,Male,Loyal Customer,59,Personal Travel,Eco,710,1,5,1,2,1,1,1,1,3,4,5,4,4,1,26,12.0,dissatisfied,Churn
17274,100379,Female,Loyal Customer,61,Personal Travel,Eco,310,2,4,2,3,5,5,4,4,4,2,4,4,4,3,85,87.0,dissatisfied,Churn
96827,102044,Female,Loyal Customer,46,Personal Travel,Eco,1041,1,5,1,3,4,4,4,5,5,1,5,5,5,4,0,20.0,dissatisfied,Churn
13860,153566,Male,disloyal Customer,26,Business travel,Business,1587,3,3,3,5,2,3,2,2,4,5,4,5,4,2,0,6.0,dissatisfied,Churn
69691,72989,Female,disloyal Customer,34,Business travel,Eco,253,1,0,1,2,2,1,4,2,4,3,4,2,2,2,0,0.0,dissatisfied,Churn
1058,73920,Female,Loyal Customer,69,Personal Travel,Eco,419,1,4,1,3,1,1,4,4,2,3,4,4,4,4,150,147.0,dissatisfied,Not Churn
97098,179407,Female,disloyal Customer,14,Personal Travel,Eco,325,1,2,1,4,3,1,3,3,3,1,4,2,4,3,0,0.0,dissatisfied,Churn
27182,126789,Male,Loyal Customer,30,Personal Travel,Eco,1055,3,4,3,4,5,3,1,5,3,3,5,4,4,5,38,52.0,dissatisfied,Not Churn
77099,117094,Male,Loyal Customer,29,Personal Travel,Eco,200,3,5,0,2,2,0,2,2,4,4,5,5,4,2,0,0.0,dissatisfied,Churn
75256,183459,Male,disloyal Customer,30,Business travel,Business,651,2,2,2,1,5,2,5,5,3,2,5,4,4,5,0,0.0,dissatisfied,Churn
79743,131948,Female,Loyal Customer,25,Business travel,Business,3133,3,1,1,1,3,3,3,1,1,4,4,3,1,3,152,134.0,dissatisfied,Churn
69260,97906,Female,Loyal Customer,24,Personal Travel,Eco,1189,3,4,3,1,2,3,2,2,5,4,3,4,4,2,110,116.0,dissatisfied,Churn
36489,128979,Male,Loyal Customer,41,Personal Travel,Eco,631,2,5,2,4,3,2,5,3,3,2,5,5,5,3,8,0.0,dissatisfied,Churn
38258,184469,Male,Loyal Customer,17,Personal Travel,Eco,96,2,5,2,3,5,2,4,5,5,2,5,5,4,5,0,0.0,dissatisfied,Churn
11859,178176,Male,Loyal Customer,25,Personal Travel,Eco,1020,1,0,1,1,1,1,5,1,5,4,5,3,4,1,0,13.0,dissatisfied,Not Churn
9576,100201,Male,disloyal Customer,11,Business travel,Eco,867,2,2,2,4,3,2,3,3,2,3,4,4,4,3,44,57.0,dissatisfied,Churn
102466,124291,Female,Loyal Customer,41,Business travel,Eco,1737,3,4,4,4,3,3,3,3,2,3,2,2,3,3,0,0.0,dissatisfied,Churn
94002,81808,Male,disloyal Customer,62,Business travel,Business,227,2,2,2,3,2,2,2,2,2,4,3,2,4,2,0,0.0,dissatisfied,Churn
70318,115637,Male,Loyal Customer,27,Business travel,Eco Plus,862,3,4,4,4,3,3,3,3,1,1,3,4,4,3,0,0.0,dissatisfied,Churn
14923,112937,Female,disloyal Customer,34,Business travel,Eco,370,1,2,1,3,4,1,5,4,4,1,4,1,4,4,1,6.0,dissatisfied,Not Churn
7362,80367,Female,Loyal Customer,27,Personal Travel,Eco Plus,531,2,5,5,1,2,5,2,2,4,2,4,5,4,2,2,0.0,dissatisfied,Not Churn
5334,179417,Female,Loyal Customer,10,Personal Travel,Eco,647,3,4,3,4,5,3,2,5,3,1,2,3,4,5,15,9.0,dissatisfied,Churn
61639,157121,Female,Loyal Customer,80,Business travel,Business,3709,2,5,5,5,1,4,3,2,2,2,2,4,2,4,31,22.0,dissatisfied,Churn
62552,123202,Female,disloyal Customer,30,Business travel,Business,1744,3,3,3,1,1,3,1,1,4,2,4,4,5,1,18,37.0,dissatisfied,Churn
38412,82665,Male,disloyal Customer,26,Business travel,Eco,448,1,4,1,1,3,1,3,3,1,1,2,2,4,3,27,25.0,dissatisfied,Not Churn
32130,95858,Female,disloyal Customer,25,Business travel,Eco,1069,2,2,2,1,2,2,1,2,3,3,3,4,4,2,92,57.0,dissatisfied,Churn
82806,157302,Male,Loyal Customer,35,Personal Travel,Eco,333,3,4,3,3,3,3,3,3,3,2,5,3,5,3,4,1.0,dissatisfied,Churn
64225,127622,Male,Loyal Customer,8,Personal Travel,Business,1121,1,4,1,2,5,1,3,5,4,3,5,3,4,5,0,7.0,dissatisfied,Not Churn
52996,122360,Female,Loyal Customer,46,Business travel,Eco,1346,1,0,0,4,1,3,3,2,2,1,4,4,2,4,0,8.0,dissatisfied,Churn
71432,179670,Male,Loyal Customer,52,Business travel,Eco,682,2,2,2,2,1,2,1,1,1,3,2,4,3,1,9,0.0,dissatisfied,Churn
22075,118842,Male,Loyal Customer,24,Personal Travel,Eco,589,3,4,3,1,2,3,2,2,4,4,4,3,5,2,0,0.0,dissatisfied,Churn
92017,81463,Female,Loyal Customer,40,Business travel,Business,3590,1,4,4,4,4,3,3,1,1,1,1,4,1,1,0,0.0,dissatisfied,Churn
16722,136663,Female,Loyal Customer,37,Personal Travel,Business,297,2,5,2,3,4,4,4,2,2,2,1,3,2,4,0,0.0,dissatisfied,Churn
102240,112005,Female,Loyal Customer,39,Business travel,Eco Plus,86,2,5,5,5,2,2,2,2,3,5,4,1,4,2,0,0.0,dissatisfied,Churn
77693,90751,Female,disloyal Customer,37,Business travel,Eco,261,1,1,1,4,3,1,3,3,1,1,4,4,4,3,0,0.0,dissatisfied,Not Churn
56474,84258,Male,disloyal Customer,38,Business travel,Business,472,2,2,2,3,5,2,4,5,3,3,3,3,2,5,85,72.0,dissatisfied,Churn
101276,87249,Female,disloyal Customer,21,Business travel,Business,990,1,4,1,4,5,1,5,5,1,2,3,2,3,5,6,13.0,dissatisfied,Churn
23277,149882,Female,Loyal Customer,39,Personal Travel,Eco,2092,4,2,4,2,3,4,3,3,2,2,1,1,2,3,0,0.0,dissatisfied,Churn
97604,170461,Female,Loyal Customer,41,Personal Travel,Eco,680,4,4,3,2,4,3,4,4,3,4,4,4,5,4,0,0.0,dissatisfied,Churn
32767,187918,Female,Loyal Customer,51,Business travel,Eco Plus,370,2,3,3,3,2,1,1,3,5,2,3,1,2,1,159,150.0,dissatisfied,Not Churn
52671,149325,Male,Loyal Customer,54,Personal Travel,Eco,404,3,3,3,3,2,3,1,2,1,5,4,3,4,2,9,3.0,dissatisfied,Churn
46556,83684,Female,Loyal Customer,8,Business travel,Business,641,2,3,3,3,2,2,2,2,4,2,3,1,4,2,0,0.0,dissatisfied,Churn
99969,168043,Female,Loyal Customer,56,Business travel,Business,584,3,1,4,1,4,4,3,3,3,3,3,2,3,4,11,0.0,dissatisfied,Churn
91839,82710,Female,Loyal Customer,36,Personal Travel,Eco,448,2,4,2,2,2,2,2,2,3,2,4,5,4,2,34,23.0,dissatisfied,Churn
76965,99536,Male,Loyal Customer,27,Personal Travel,Eco,354,4,1,4,1,3,4,1,3,1,4,1,2,2,3,0,0.0,dissatisfied,Churn
37784,125298,Female,disloyal Customer,22,Business travel,Eco,551,1,0,1,2,5,1,5,5,3,5,5,3,4,5,0,0.0,dissatisfied,Churn
11485,121526,Male,Loyal Customer,21,Business travel,Business,3298,2,5,5,5,2,2,2,2,1,3,4,2,4,2,3,3.0,dissatisfied,Churn
54194,147946,Female,Loyal Customer,8,Personal Travel,Eco,946,2,2,2,4,5,2,5,5,1,3,4,4,4,5,8,0.0,dissatisfied,Churn
54546,107350,Female,disloyal Customer,43,Business travel,Eco,125,4,2,3,4,3,3,3,3,4,5,3,3,4,3,45,47.0,dissatisfied,Churn
52587,92756,Male,disloyal Customer,24,Business travel,Eco,101,3,0,3,4,5,3,5,5,3,3,1,4,5,5,0,0.0,dissatisfied,Churn
69495,149627,Male,Loyal Customer,40,Personal Travel,Eco,859,2,0,2,4,4,2,4,4,5,3,5,5,5,4,7,0.0,dissatisfied,Churn
51075,134431,Female,Loyal Customer,42,Business travel,Business,3202,2,3,3,3,5,2,2,1,1,1,2,3,1,3,1,0.0,dissatisfied,Not Churn
29898,158276,Male,disloyal Customer,40,Business travel,Business,448,3,3,3,5,4,3,5,4,3,2,4,4,4,4,14,7.0,dissatisfied,Not Churn
12186,123395,Female,Loyal Customer,47,Business travel,Eco Plus,281,2,3,3,3,2,4,4,2,2,2,2,3,2,3,25,36.0,dissatisfied,Not Churn
82581,184853,Female,Loyal Customer,64,Personal Travel,Eco,529,3,5,3,3,4,5,4,2,2,3,2,5,2,5,14,7.0,dissatisfied,Churn
83544,89721,Female,disloyal Customer,29,Business travel,Eco,937,2,1,1,4,2,1,3,2,4,5,3,4,3,2,0,0.0,dissatisfied,Churn
54099,102327,Male,Loyal Customer,39,Personal Travel,Eco,1334,4,4,4,4,4,4,4,4,4,4,5,4,5,4,6,3.0,dissatisfied,Churn
4569,150648,Male,disloyal Customer,36,Business travel,Business,1087,2,1,1,5,3,1,3,3,5,3,4,3,4,3,0,0.0,dissatisfied,Churn
