,id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction,churn
3443,101761,Female,disloyal Customer,23,Business travel,Eco,859,2,2,2,1,5,2,5,5,5,4,4,3,5,5,17,21.0,dissatisfied,Churn
44615,110879,Male,Loyal Customer,55,Personal Travel,Eco,1111,3,5,3,2,1,3,1,1,4,4,4,4,5,1,8,4.0,dissatisfied,Churn
88975,32282,Male,disloyal Customer,30,Business travel,Eco,448,2,2,2,4,3,2,3,3,3,3,3,1,4,3,0,0.0,dissatisfied,Churn
24803,52252,Female,Loyal Customer,28,Personal Travel,Eco,129,1,3,1,3,3,1,5,3,3,1,3,1,4,3,0,18.0,dissatisfied,Churn
40129,40931,Male,Loyal Customer,58,Personal Travel,Eco,472,2,5,2,3,3,2,3,3,1,1,2,2,1,3,0,0.0,dissatisfied,Churn
10798,112230,Male,Loyal Customer,50,Personal Travel,Eco,2039,2,1,2,2,5,2,5,5,2,1,3,3,2,5,15,0.0,dissatisfied,Churn
43253,127966,Male,Loyal Customer,36,Personal Travel,Eco,872,1,3,0,3,5,0,5,5,2,1,4,3,3,5,3,0.0,dissatisfied,Churn
31906,88743,Female,Loyal Customer,49,Personal Travel,Eco,453,3,3,1,4,2,1,2,2,2,1,4,2,2,5,0,3.0,dissatisfied,Churn
31490,11369,Male,disloyal Customer,37,Business travel,Eco,134,3,1,3,3,4,3,4,4,1,2,3,2,4,4,93,98.0,dissatisfied,Churn
24556,91170,Male,disloyal Customer,13,Business travel,Eco,484,1,2,1,4,1,1,1,1,3,1,3,2,4,1,8,3.0,dissatisfied,Churn
3416,122487,Male,Loyal Customer,39,Business travel,Business,2130,2,3,3,3,4,3,3,2,2,2,2,4,2,2,14,27.0,dissatisfied,Not Churn
40047,110648,Male,Loyal Customer,29,Business travel,Eco,1034,2,3,3,3,2,2,2,2,4,4,2,3,3,2,10,20.0,dissatisfied,Not Churn
12827,21558,Male,Loyal Customer,28,Personal Travel,Eco,163,4,4,4,3,1,4,1,1,4,2,2,2,1,1,0,0.0,dissatisfied,Not Churn
88336,16002,Male,Loyal Customer,54,Business travel,Business,3558,2,5,5,5,3,4,3,2,2,2,2,3,2,1,0,0.0,dissatisfied,Churn
53248,26125,Female,Loyal Customer,67,Personal Travel,Eco,282,4,4,4,1,5,5,5,2,2,4,2,4,2,5,0,0.0,dissatisfied,Churn
26110,24908,Female,Loyal Customer,42,Business travel,Business,2867,4,2,2,2,5,1,1,4,4,4,4,4,4,2,0,0.0,dissatisfied,Churn
100737,66773,Female,Loyal Customer,40,Personal Travel,Eco,719,3,4,3,1,1,3,1,1,3,5,5,5,5,1,12,0.0,dissatisfied,Churn
102062,10483,Female,Loyal Customer,42,Personal Travel,Eco,227,2,4,2,2,4,4,5,4,4,2,3,5,4,4,55,59.0,dissatisfied,Churn
14314,65349,Female,disloyal Customer,23,Business travel,Eco,1303,3,3,3,3,4,3,1,4,4,4,4,3,5,4,0,0.0,dissatisfied,Churn
2378,120760,Female,Loyal Customer,12,Personal Travel,Eco,919,4,3,4,2,5,4,5,5,3,5,4,4,3,5,10,2.0,dissatisfied,Churn
52446,57052,Female,Loyal Customer,63,Personal Travel,Eco,125,3,4,0,3,3,2,1,1,1,0,1,2,1,4,0,0.0,dissatisfied,Churn
52652,91205,Female,Loyal Customer,59,Business travel,Eco Plus,484,2,5,5,5,1,3,3,2,2,2,2,2,2,1,1,0.0,dissatisfied,Churn
86488,51436,Male,Loyal Customer,35,Business travel,Business,216,3,2,2,2,5,4,3,1,1,1,3,4,1,3,13,9.0,dissatisfied,Churn
79597,26227,Female,Loyal Customer,59,Personal Travel,Eco,660,4,2,4,3,4,4,3,2,2,4,2,3,2,2,4,0.0,dissatisfied,Churn
88089,138856,Male,Loyal Customer,54,Personal Travel,Eco,338,1,4,1,1,2,1,2,2,5,5,4,3,5,2,11,7.0,dissatisfied,Churn
49133,121391,Male,Loyal Customer,50,Personal Travel,Eco,319,3,3,3,1,1,3,1,1,3,2,3,4,5,1,16,22.0,dissatisfied,Not Churn
54905,100489,Female,Loyal Customer,12,Personal Travel,Eco,983,2,3,2,3,3,2,3,3,3,5,4,5,4,3,41,27.0,dissatisfied,Churn
76586,101090,Female,disloyal Customer,22,Business travel,Eco,223,3,2,3,2,3,3,3,3,3,5,2,4,2,3,11,38.0,dissatisfied,Churn
52360,105023,Male,Loyal Customer,57,Business travel,Eco,277,1,0,0,4,3,1,3,3,4,4,4,4,4,3,1,9.0,dissatisfied,Churn
54010,123386,Male,disloyal Customer,12,Business travel,Eco,479,2,4,2,4,3,2,3,3,4,3,3,3,3,3,3,0.0,dissatisfied,Churn
29843,78729,Female,Loyal Customer,50,Business travel,Business,3988,3,2,4,2,4,1,1,3,3,3,3,3,3,4,0,0.0,dissatisfied,Churn
