,id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction,churn
29589,124776,Female,Loyal Customer,30,Personal Travel,Eco,787,3,4,3,1,4,3,4,4,4,2,5,4,5,4,6,0.0,dissatisfied,Churn
3244,120743,Male,Loyal Customer,56,Personal Travel,Eco,1062,2,3,2,3,4,2,4,4,3,3,3,1,4,4,27,39.0,dissatisfied,Churn
60465,38531,Female,disloyal Customer,34,Business travel,Eco,302,1,2,1,4,1,1,1,1,1,1,3,2,4,1,0,0.0,dissatisfied,Not Churn
92126,21153,Female,disloyal Customer,20,Business travel,Eco,622,2,4,2,3,5,2,5,5,4,5,4,4,4,5,0,0.0,dissatisfied,Not Churn
87120,26126,Female,disloyal Customer,18,Business travel,Eco,986,3,3,3,4,4,3,4,4,4,5,3,2,4,4,0,0.0,dissatisfied,Churn
93358,15930,Female,disloyal Customer,54,Business travel,Eco,599,2,3,2,4,2,2,2,2,4,4,4,1,3,2,0,0.0,dissatisfied,Not Churn
73698,93305,Male,Loyal Customer,19,Business travel,Business,226,1,3,3,3,1,1,1,1,3,3,3,3,3,1,29,26.0,dissatisfied,Churn
82957,90414,Male,Loyal Customer,53,Personal Travel,Business,689,2,4,2,3,5,3,3,5,5,2,3,3,5,3,0,0.0,dissatisfied,Churn
35025,37389,Female,Loyal Customer,24,Personal Travel,Eco,794,3,4,3,4,1,3,1,1,5,5,5,5,5,1,107,99.0,dissatisfied,Churn
67950,125721,Male,disloyal Customer,23,Business travel,Eco,896,3,3,3,3,4,3,4,4,2,4,4,3,3,4,26,17.0,dissatisfied,Churn
13773,69131,Female,Loyal Customer,48,Business travel,Eco,862,3,3,3,3,2,2,2,3,3,3,3,3,3,3,10,15.0,dissatisfied,Not Churn
34938,132827,Female,Loyal Customer,44,Business travel,Eco,338,1,0,0,4,5,4,4,2,2,1,2,3,2,1,57,54.0,dissatisfied,Churn
38336,32652,Female,Loyal Customer,70,Personal Travel,Business,314,2,2,2,2,3,3,2,4,4,2,2,4,4,1,81,93.0,dissatisfied,Churn
13812,104126,Female,Loyal Customer,24,Personal Travel,Eco Plus,950,2,1,2,4,5,2,4,5,2,2,3,3,3,5,0,0.0,dissatisfied,Not Churn
68879,38261,Male,Loyal Customer,33,Personal Travel,Eco,639,1,2,1,4,3,1,3,3,1,5,3,1,3,3,0,0.0,dissatisfied,Churn
98325,67851,Male,disloyal Customer,27,Business travel,Eco,1956,3,3,3,3,1,3,1,1,4,2,3,5,1,1,2,0.0,dissatisfied,Not Churn
33050,35112,Male,Loyal Customer,25,Business travel,Eco,357,4,1,1,1,4,3,2,4,1,2,3,3,3,4,0,0.0,dissatisfied,Churn
60333,54091,Male,disloyal Customer,22,Business travel,Eco,272,3,4,3,3,3,3,3,3,3,5,5,3,5,3,0,0.0,dissatisfied,Not Churn
33884,16581,Female,disloyal Customer,25,Business travel,Eco,672,2,2,2,4,1,2,1,1,1,3,4,1,3,1,44,40.0,dissatisfied,Churn
87171,44337,Male,Loyal Customer,38,Business travel,Business,261,3,3,3,3,1,4,3,3,3,3,3,1,3,1,0,0.0,dissatisfied,Churn
1712,23903,Male,Loyal Customer,27,Personal Travel,Eco,288,2,4,2,2,5,2,5,5,5,5,4,5,4,5,21,23.0,dissatisfied,Churn
97448,19213,Male,Loyal Customer,77,Business travel,Eco,1020,1,3,3,3,1,1,1,1,2,3,3,1,3,1,0,0.0,dissatisfied,Churn
4583,97445,Female,Loyal Customer,65,Personal Travel,Eco,957,3,4,3,3,4,4,4,4,4,3,4,2,4,2,0,0.0,dissatisfied,Churn
586,121509,Female,disloyal Customer,35,Business travel,Business,668,2,2,2,2,5,2,5,5,4,5,5,4,4,5,0,0.0,dissatisfied,Churn
72207,114256,Female,Loyal Customer,25,Business travel,Eco Plus,2237,2,2,3,2,2,2,4,2,2,4,3,1,4,2,0,0.0,dissatisfied,Churn
42734,96663,Female,Loyal Customer,52,Personal Travel,Eco,453,1,5,1,1,3,4,4,3,3,1,3,3,3,4,0,0.0,dissatisfied,Churn
95292,77621,Male,Loyal Customer,75,Business travel,Business,3122,3,1,5,1,2,3,4,3,3,3,3,4,3,4,0,0.0,dissatisfied,Churn
30373,29535,Female,Loyal Customer,53,Business travel,Eco,416,2,4,4,4,2,3,3,2,2,2,2,4,2,2,0,0.0,dissatisfied,Churn
5347,41412,Female,disloyal Customer,28,Business travel,Business,2677,3,3,3,4,3,2,2,3,3,3,4,2,3,2,1,0.0,dissatisfied,Not Churn
3256,139353,Female,Loyal Customer,61,Personal Travel,Eco Plus,2300,3,4,3,3,3,1,1,2,2,5,1,1,3,1,17,66.0,dissatisfied,Churn
