,id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction,churn
67646,119659,Male,Loyal Customer,7,Personal Travel,Business,1438,1,3,1,3,3,1,3,3,3,1,2,3,3,3,0,0.0,dissatisfied,Churn
97697,93408,Female,Loyal Customer,7,Personal Travel,Eco,844,3,4,3,3,4,3,2,4,5,5,5,5,5,4,0,0.0,dissatisfied,Churn
78170,154644,Female,Loyal Customer,16,Personal Travel,Eco,236,2,5,2,2,5,2,5,5,4,5,1,4,1,5,0,0.0,dissatisfied,Churn
41118,113633,Male,Loyal Customer,44,Personal Travel,Eco,2288,1,2,1,3,2,1,2,2,1,2,3,1,4,2,0,0.0,dissatisfied,Churn
74808,102124,Female,Loyal Customer,38,Business travel,Business,2787,1,2,2,2,3,4,3,1,1,1,1,1,1,4,4,11.0,dissatisfied,Churn
54287,88476,Male,Loyal Customer,46,Business travel,Business,3631,2,5,5,5,4,3,3,4,4,4,2,2,4,1,0,4.0,dissatisfied,Not Churn
59014,147278,Female,Loyal Customer,50,Personal Travel,Eco,239,2,5,0,1,4,4,4,5,5,0,5,4,5,5,19,16.0,dissatisfied,Churn
98398,116338,Male,disloyal Customer,39,Business travel,Business,1660,2,2,2,1,5,2,5,5,5,4,4,4,4,5,0,6.0,dissatisfied,Churn
72456,116902,Female,disloyal Customer,23,Business travel,Eco,224,1,4,1,3,1,1,1,1,4,2,5,5,4,1,0,0.0,dissatisfied,Churn
12139,70770,Female,Loyal Customer,60,Personal Travel,Eco,253,2,4,2,3,2,5,5,4,3,2,5,5,3,5,233,228.0,dissatisfied,Churn
31220,75319,Male,Loyal Customer,51,Business travel,Business,1594,3,2,2,2,5,3,4,3,3,3,3,2,3,1,0,0.0,dissatisfied,Churn
37682,98989,Female,Loyal Customer,33,Business travel,Business,2413,1,5,5,5,4,3,3,1,1,1,1,2,1,2,0,9.0,dissatisfied,Churn
53067,78051,Male,Loyal Customer,44,Business travel,Eco Plus,594,4,2,2,2,4,4,4,4,1,1,4,1,3,4,2,0.0,dissatisfied,Churn
97164,91509,Female,disloyal Customer,23,Business travel,Eco,521,2,4,2,4,3,2,1,3,4,2,3,4,4,3,0,0.0,dissatisfied,Not Churn
39340,92725,Female,Loyal Customer,27,Personal Travel,Eco,411,4,4,4,4,2,4,2,2,2,4,4,4,3,2,0,0.0,dissatisfied,Churn
54986,145847,Male,Loyal Customer,13,Personal Travel,Business,368,1,3,1,2,4,1,3,4,5,2,1,1,4,4,2,0.0,dissatisfied,Churn
94825,69573,Female,Loyal Customer,65,Personal Travel,Eco,677,2,5,1,4,1,5,2,1,1,1,1,3,1,2,0,0.0,dissatisfied,Churn
6572,109687,Male,Loyal Customer,38,Business travel,Eco,1597,1,5,5,5,1,2,1,1,2,2,2,4,3,1,0,0.0,dissatisfied,Churn
92714,113350,Female,disloyal Customer,17,Business travel,Eco,967,2,2,2,3,5,2,5,5,5,1,4,3,3,5,0,0.0,dissatisfied,Churn
18215,172344,Female,Loyal Customer,8,Personal Travel,Eco,1303,2,4,2,4,5,2,5,5,1,4,3,1,3,5,9,8.0,dissatisfied,Churn
2448,87177,Male,Loyal Customer,39,Business travel,Business,2502,3,4,4,4,5,4,4,3,3,3,3,3,3,3,0,0.0,dissatisfied,Not Churn
81183,160138,Female,Loyal Customer,44,Business travel,Business,1508,2,3,3,3,1,4,4,2,2,2,2,1,2,2,1,0.0,dissatisfied,Churn
94272,149797,Female,Loyal Customer,30,Business travel,Eco Plus,272,2,3,3,3,2,3,2,2,4,3,3,1,4,2,0,0.0,dissatisfied,Churn
9679,59685,Female,disloyal Customer,43,Business travel,Business,594,4,4,4,4,4,4,4,4,5,3,5,5,4,4,11,0.0,dissatisfied,Churn
67032,105938,Male,Loyal Customer,45,Business travel,Business,140,3,1,1,1,4,3,3,3,3,3,3,3,3,3,4,0.0,dissatisfied,Churn
96333,90396,Female,Loyal Customer,8,Business travel,Eco Plus,1050,1,4,5,5,1,1,4,1,4,3,3,1,4,1,86,63.0,dissatisfied,Churn
10491,105511,Female,disloyal Customer,22,Business travel,Eco,2288,3,4,4,3,4,3,4,4,4,2,4,2,3,4,0,0.0,dissatisfied,Churn
18629,86150,Male,disloyal Customer,34,Business travel,Eco,1608,2,3,3,3,1,2,1,1,1,2,5,2,2,1,0,0.0,dissatisfied,Churn
78299,172352,Female,Loyal Customer,30,Personal Travel,Eco,1303,2,4,2,3,1,2,1,1,3,5,5,5,4,1,0,0.0,dissatisfied,Churn
19234,104417,Female,disloyal Customer,33,Business travel,Eco,370,3,2,3,3,4,3,4,4,1,3,3,2,4,4,0,8.0,dissatisfied,Churn
89496,55297,Female,Loyal Customer,50,Business travel,Business,585,4,1,1,1,4,3,3,4,4,4,4,1,4,1,69,91.0,dissatisfied,Churn
28379,124709,Male,Loyal Customer,10,Personal Travel,Eco,985,2,5,2,5,2,2,2,2,3,2,4,5,5,2,0,0.0,dissatisfied,Churn
14746,89778,Female,Loyal Customer,39,Personal Travel,Eco,1076,1,1,1,3,3,1,4,3,1,3,3,4,3,3,0,0.0,dissatisfied,Churn
13694,168478,Female,Loyal Customer,41,Personal Travel,Eco,404,2,4,2,3,5,2,5,5,4,3,4,4,4,5,0,0.0,dissatisfied,Churn
33598,111282,Female,Loyal Customer,65,Personal Travel,Eco Plus,1846,2,3,1,4,1,4,4,3,2,4,4,4,3,4,179,149.0,dissatisfied,Not Churn
100996,157353,Male,Loyal Customer,56,Business travel,Eco Plus,377,4,2,2,2,4,4,4,4,1,4,3,1,4,4,55,50.0,dissatisfied,Churn
99903,94917,Male,disloyal Customer,43,Business travel,Eco,710,3,3,3,3,1,3,1,1,4,1,5,4,3,1,0,10.0,dissatisfied,Churn
42424,167628,Male,Loyal Customer,34,Business travel,Business,2983,1,1,1,1,5,3,3,1,1,1,1,1,1,2,20,18.0,dissatisfied,Churn
10087,99253,Female,disloyal Customer,27,Business travel,Eco,954,3,3,3,3,3,3,3,3,5,3,3,5,3,3,0,0.0,dissatisfied,Churn
3498,85015,Male,Loyal Customer,19,Personal Travel,Eco,163,2,4,2,4,1,2,1,1,4,4,3,1,3,1,0,0.0,dissatisfied,Churn
52099,152311,Male,Loyal Customer,37,Business travel,Eco Plus,325,5,5,3,3,5,4,5,5,2,5,3,1,3,5,91,89.0,dissatisfied,Churn
14451,180301,Female,Loyal Customer,37,Personal Travel,Eco Plus,1849,2,4,2,3,2,2,2,2,4,1,1,4,2,2,28,8.0,dissatisfied,Churn
85701,61668,Male,Loyal Customer,45,Business travel,Business,1758,3,4,4,4,2,4,4,3,3,3,3,2,3,2,0,0.0,dissatisfied,Churn
65857,166551,Male,disloyal Customer,37,Business travel,Business,446,4,4,4,5,1,4,1,1,3,3,4,5,5,1,0,2.0,dissatisfied,Churn
71414,78379,Female,Loyal Customer,31,Business travel,Business,1922,2,1,3,1,2,2,2,2,2,3,4,3,3,2,13,2.0,dissatisfied,Churn
23438,54104,Female,Loyal Customer,62,Personal Travel,Eco,383,2,4,2,5,5,5,4,5,5,2,5,4,5,3,0,0.0,dissatisfied,Churn
34203,77179,Female,Loyal Customer,69,Personal Travel,Eco,594,1,5,1,2,4,4,2,2,2,1,4,2,2,2,10,6.0,dissatisfied,Churn
68561,161666,Female,Loyal Customer,49,Personal Travel,Eco,861,3,4,3,3,3,4,5,3,3,3,4,3,3,5,62,54.0,dissatisfied,Churn
3355,154798,Female,disloyal Customer,38,Business travel,Eco,365,1,4,1,4,2,1,2,2,3,1,4,3,3,2,1,0.0,dissatisfied,Churn
48815,85627,Male,disloyal Customer,15,Business travel,Eco,1141,4,4,4,5,4,4,4,4,2,4,4,5,1,4,0,5.0,dissatisfied,Churn
89813,76157,Female,Loyal Customer,13,Personal Travel,Eco,595,3,4,3,5,4,3,4,4,3,1,2,3,2,4,0,0.0,dissatisfied,Churn
50363,123287,Male,Loyal Customer,46,Business travel,Business,3405,3,5,5,5,3,2,2,3,3,3,3,2,3,3,0,0.0,dissatisfied,Churn
100081,154554,Male,Loyal Customer,36,Personal Travel,Eco,226,2,5,0,2,3,0,3,3,4,2,4,4,4,3,5,1.0,dissatisfied,Churn
75750,56397,Male,Loyal Customer,19,Personal Travel,Eco,502,4,4,4,5,2,4,1,2,5,2,4,5,4,2,4,0.0,dissatisfied,Churn
102361,97273,Male,disloyal Customer,16,Business travel,Eco,174,3,2,3,3,4,3,4,4,2,4,4,4,3,4,0,14.0,dissatisfied,Churn
4067,99485,Female,Loyal Customer,53,Business travel,Eco,558,1,4,4,4,5,3,4,1,1,1,1,4,1,4,14,6.0,dissatisfied,Churn
21331,84872,Female,disloyal Customer,36,Business travel,Eco,163,3,3,3,4,5,3,5,5,3,5,4,2,3,5,0,0.0,dissatisfied,Churn
80762,168411,Male,Loyal Customer,56,Personal Travel,Eco,404,2,2,2,4,1,2,3,1,1,5,3,4,3,1,6,5.0,dissatisfied,Churn
79087,175809,Male,Loyal Customer,31,Personal Travel,Eco,214,3,5,0,4,4,0,4,4,5,4,4,3,4,4,18,6.0,dissatisfied,Not Churn
19090,59886,Female,Loyal Customer,25,Personal Travel,Eco,990,2,5,3,4,4,3,4,4,4,3,4,4,5,4,0,12.0,dissatisfied,Not Churn
