,id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction,conversion
15289,185933,Male,Loyal Customer,54,Business travel,Business,3758,5,5,5,5,3,5,4,4,4,4,4,4,4,5,43,37.0,satisfied,Converted
10837,127711,Female,disloyal Customer,20,Business travel,Eco,641,5,0,5,5,5,1,5,4,5,3,1,5,5,5,505,486.0,satisfied,Converted
80259,173115,Female,disloyal Customer,50,Business travel,Business,1127,4,4,4,1,3,4,3,3,5,2,4,3,4,3,0,0.0,satisfied,Converted
82401,92061,Female,Loyal Customer,36,Business travel,Business,1765,2,2,2,2,3,4,5,5,5,5,4,5,5,5,9,7.0,satisfied,Converted
36925,143699,Female,Loyal Customer,39,Business travel,Business,3145,3,3,3,3,5,2,1,4,4,4,4,2,4,2,1,0.0,satisfied,Converted
26440,172048,Female,Loyal Customer,65,Business travel,Eco Plus,280,2,5,5,5,5,4,1,2,2,2,2,4,2,5,13,0.0,satisfied,Converted
6758,98088,Female,Loyal Customer,40,Business travel,Business,3557,1,1,1,1,3,5,4,5,5,5,5,4,5,5,0,0.0,satisfied,Not Converted
32391,95920,Male,Loyal Customer,39,Business travel,Business,3570,0,0,0,4,4,4,4,2,2,2,5,5,2,5,0,19.0,satisfied,Converted
13735,172327,Female,Loyal Customer,47,Business travel,Business,1927,4,4,4,4,3,5,4,4,4,4,4,4,4,4,0,0.0,satisfied,Converted
89357,169895,Male,disloyal Customer,25,Business travel,Business,1089,0,0,0,4,1,0,5,1,3,3,4,3,4,1,5,0.0,satisfied,Converted
56350,165040,Male,Loyal Customer,27,Business travel,Business,2586,4,4,4,4,4,4,4,4,4,4,5,3,4,4,4,0.0,satisfied,Converted
53247,161054,Male,Loyal Customer,59,Business travel,Business,612,4,4,4,4,2,4,4,4,4,4,4,3,4,3,0,0.0,satisfied,Converted
