,id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction,conversion
85768,128029,Female,Loyal Customer,37,Business travel,Business,3653,5,5,5,5,5,5,5,4,4,4,4,3,4,3,0,0.0,satisfied,Not Converted
103521,214230,Female,Loyal Customer,26,Business travel,Business,1506,2,2,2,2,5,5,5,5,4,3,5,5,4,5,50,39.0,satisfied,Converted
20370,216839,Male,disloyal Customer,22,Business travel,Eco,1089,5,5,5,5,5,5,3,5,4,4,4,5,5,5,0,0.0,satisfied,Converted
43591,148696,Female,Loyal Customer,60,Business travel,Eco,160,5,3,3,3,4,1,3,5,5,5,5,1,5,3,0,5.0,satisfied,Converted
11642,109755,Female,Loyal Customer,45,Business travel,Business,196,4,4,4,4,2,3,5,5,5,5,5,1,5,5,0,0.0,satisfied,Converted
46126,126003,Female,Loyal Customer,31,Business travel,Business,2670,2,2,2,2,5,5,5,5,2,4,5,1,3,5,32,27.0,satisfied,Converted
94874,169021,Female,Loyal Customer,26,Business travel,Business,1089,4,4,4,4,5,5,5,5,3,2,5,3,5,5,0,0.0,satisfied,Converted
90658,163921,Male,Loyal Customer,56,Business travel,Business,3991,4,3,4,4,4,3,4,5,5,5,5,2,5,1,74,51.0,satisfied,Converted
40679,117128,Female,Loyal Customer,55,Business travel,Business,2483,0,4,0,2,4,4,4,1,2,3,3,4,3,4,277,278.0,satisfied,Converted
8650,212817,Male,Loyal Customer,55,Business travel,Eco Plus,296,5,5,5,5,5,5,5,5,2,4,4,1,3,5,9,6.0,satisfied,Converted
19176,140535,Female,Loyal Customer,32,Business travel,Business,542,3,3,3,3,4,4,4,4,2,4,4,3,5,4,0,0.0,satisfied,Converted
79837,152912,Female,Loyal Customer,37,Business travel,Business,1605,1,3,1,1,3,3,4,3,3,4,3,4,3,4,15,23.0,satisfied,Converted
14379,200993,Male,Loyal Customer,33,Personal Travel,Eco,327,5,0,5,4,4,5,4,4,5,5,4,3,4,4,3,0.0,satisfied,Not Converted
36499,190599,Male,Loyal Customer,16,Business travel,Business,1803,2,2,2,2,4,4,4,4,4,2,4,3,4,4,0,0.0,satisfied,Converted
55945,188733,Female,Loyal Customer,44,Business travel,Business,2709,2,2,2,2,3,5,5,5,5,5,5,4,5,5,0,0.0,satisfied,Converted
69010,114484,Male,Loyal Customer,41,Personal Travel,Eco Plus,169,5,4,5,1,3,5,3,3,3,3,5,3,4,3,0,0.0,satisfied,Converted
40932,102446,Male,Loyal Customer,52,Business travel,Business,2488,0,5,0,1,4,5,5,5,5,5,5,4,5,5,0,0.0,satisfied,Converted
