,id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction,conversion
19203,115972,Female,Loyal Customer,16,Business travel,Eco,491,4,5,5,5,4,4,5,4,3,4,5,4,2,4,0,0.0,satisfied,Converted
74501,54759,Male,Loyal Customer,40,Business travel,Business,3578,5,5,5,5,5,3,1,4,4,4,4,3,4,5,0,0.0,satisfied,Not Converted
4882,131413,Female,Loyal Customer,26,Business travel,Business,3493,3,3,3,3,5,5,5,5,5,4,5,5,5,5,0,0.0,satisfied,Converted
23973,20307,Male,Loyal Customer,34,Business travel,Business,762,1,1,1,1,4,5,5,4,4,5,4,3,4,4,0,0.0,satisfied,Converted
18404,135259,Female,Loyal Customer,40,Business travel,Business,575,5,5,5,5,4,5,4,4,4,4,4,5,4,5,0,0.0,satisfied,Converted
9324,20444,Male,Loyal Customer,31,Business travel,Business,3389,4,4,2,4,5,5,5,5,4,5,5,3,5,5,22,31.0,satisfied,Not Converted
89830,137222,Female,Loyal Customer,23,Business travel,Business,3397,3,3,2,3,5,4,5,5,3,4,5,3,4,5,0,0.0,satisfied,Converted
91495,64747,Female,Loyal Customer,38,Business travel,Eco,843,5,4,2,4,5,5,5,5,5,5,1,1,2,5,0,0.0,satisfied,Not Converted
45729,70672,Female,Loyal Customer,60,Business travel,Business,305,5,5,5,5,5,4,4,5,5,5,5,3,5,5,22,23.0,satisfied,Converted
6259,114110,Female,Loyal Customer,30,Business travel,Business,3987,4,4,4,4,5,5,5,5,5,4,4,4,5,5,44,42.0,satisfied,Converted
3371,20878,Male,Loyal Customer,57,Business travel,Business,335,3,3,3,3,5,4,5,5,5,5,5,4,5,4,0,0.0,satisfied,Not Converted
42855,102284,Female,Loyal Customer,37,Business travel,Business,1931,4,5,4,4,3,4,5,4,4,4,4,3,4,5,10,0.0,satisfied,Converted
45608,66250,Male,Loyal Customer,49,Business travel,Business,2419,4,4,5,4,5,5,5,4,5,5,5,5,4,5,0,0.0,satisfied,Not Converted
63145,85929,Male,Loyal Customer,59,Personal Travel,Business,1068,5,4,4,2,5,5,4,4,4,4,4,4,4,3,1,2.0,satisfied,Converted
25973,117921,Male,Loyal Customer,55,Business travel,Business,277,5,5,4,5,3,5,4,5,5,5,5,4,5,4,0,0.0,satisfied,Converted
2604,68227,Male,Loyal Customer,58,Business travel,Business,2136,2,1,2,2,4,4,5,2,2,2,2,3,2,3,9,0.0,satisfied,Converted
32803,55669,Female,Loyal Customer,56,Business travel,Business,2389,4,4,4,4,3,2,4,4,4,4,4,1,4,5,0,19.0,satisfied,Converted
78925,48127,Male,Loyal Customer,38,Business travel,Eco,1069,4,1,5,1,4,4,4,4,3,1,1,4,5,4,64,65.0,satisfied,Converted
91884,123995,Female,Loyal Customer,48,Business travel,Business,1506,2,2,2,2,4,4,5,3,3,4,3,4,3,5,0,0.0,satisfied,Not Converted
50437,133158,Male,Loyal Customer,46,Business travel,Business,3553,4,4,4,4,5,4,5,5,5,5,5,5,5,4,0,0.0,satisfied,Converted
103745,73597,Female,disloyal Customer,25,Business travel,Business,472,5,0,4,3,2,4,2,2,5,5,4,5,4,2,0,0.0,satisfied,Converted
43487,96439,Female,Loyal Customer,40,Business travel,Business,3061,1,1,1,1,3,5,5,2,2,3,2,4,2,3,0,22.0,satisfied,Converted
94074,62149,Female,Loyal Customer,40,Business travel,Eco,110,3,4,3,4,3,4,3,3,1,1,1,1,2,3,0,0.0,satisfied,Converted
69384,123055,Male,Loyal Customer,40,Business travel,Business,2810,2,2,2,2,5,5,4,5,5,5,5,4,5,4,24,46.0,satisfied,Not Converted
30235,88218,Female,Loyal Customer,58,Business travel,Business,2585,3,3,2,3,3,3,4,5,5,5,5,3,5,4,10,0.0,satisfied,Converted
