,id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction,conversion
35983,166850,Female,Loyal Customer,57,Business travel,Business,2583,5,1,5,5,3,5,5,5,5,5,5,4,5,5,0,0.0,satisfied,Not Converted
54620,135929,Male,Loyal Customer,48,Business travel,Business,994,2,2,2,2,4,4,5,3,3,4,3,4,3,5,0,0.0,satisfied,Converted
76102,45089,Female,Loyal Customer,41,Business travel,Business,1611,4,4,4,4,2,5,5,4,4,4,4,3,4,5,0,4.0,satisfied,Converted
45002,157971,Female,Loyal Customer,56,Business travel,Business,2875,0,0,0,1,3,4,5,5,5,5,5,5,5,5,0,0.0,satisfied,Converted
90597,158072,Male,Loyal Customer,42,Business travel,Business,3118,5,5,5,5,3,5,5,2,2,2,2,5,2,3,3,0.0,satisfied,Converted
44356,114138,Male,Loyal Customer,31,Business travel,Business,3095,5,5,5,5,5,5,5,5,5,3,5,4,5,5,7,5.0,satisfied,Converted
65349,165263,Male,Loyal Customer,51,Business travel,Business,2300,5,5,5,5,4,5,5,4,4,4,4,3,4,4,20,0.0,satisfied,Converted
42446,108142,Male,Loyal Customer,15,Personal Travel,Eco,624,5,1,5,4,2,5,2,2,3,3,4,4,3,2,0,0.0,satisfied,Converted
68837,125582,Female,Loyal Customer,42,Business travel,Business,2693,4,4,4,4,3,4,4,3,3,3,3,4,3,5,23,15.0,satisfied,Not Converted
43375,69535,Male,Loyal Customer,46,Business travel,Business,4000,3,3,3,3,4,2,1,4,4,4,4,3,4,4,9,20.0,satisfied,Converted
28446,104667,Female,Loyal Customer,64,Personal Travel,Eco,1471,5,4,5,3,5,4,5,5,5,5,5,4,5,4,0,0.0,satisfied,Converted
52205,90352,Male,Loyal Customer,35,Business travel,Eco,1190,5,2,2,2,5,5,5,5,1,2,5,5,2,5,9,0.0,satisfied,Converted
92059,57570,Female,Loyal Customer,31,Business travel,Business,1711,3,3,3,3,5,5,5,5,1,1,3,4,2,5,5,16.0,satisfied,Converted
65436,40937,Male,Loyal Customer,52,Business travel,Business,544,4,4,4,4,3,4,4,4,4,5,4,4,4,5,0,0.0,satisfied,Converted
29953,135561,Male,Loyal Customer,20,Business travel,Business,1850,4,3,4,4,4,4,4,4,3,3,4,3,5,4,4,11.0,satisfied,Converted
87684,150740,Male,Loyal Customer,43,Business travel,Business,3249,3,3,3,3,4,5,5,4,4,4,5,4,4,5,39,36.0,satisfied,Converted
13236,129020,Female,Loyal Customer,57,Business travel,Business,590,5,5,5,5,4,4,5,5,5,5,5,3,5,4,40,40.0,satisfied,Converted
13035,86012,Male,Loyal Customer,60,Business travel,Business,372,3,3,3,3,3,4,4,5,5,5,5,5,5,3,0,0.0,satisfied,Not Converted
101370,45830,Female,Loyal Customer,47,Business travel,Business,737,1,1,1,1,3,4,4,4,4,5,4,4,4,5,0,0.0,satisfied,Converted
66909,82538,Male,Loyal Customer,57,Business travel,Business,911,3,3,3,3,5,2,5,4,4,4,4,5,4,3,5,0.0,satisfied,Not Converted
62942,73180,Male,Loyal Customer,75,Business travel,Business,3694,4,4,4,4,3,3,5,3,3,2,3,4,3,5,0,0.0,satisfied,Converted
73219,135983,Female,Loyal Customer,39,Personal Travel,Eco,994,4,4,4,3,5,4,5,5,4,2,4,3,4,5,0,0.0,satisfied,Converted
1355,139453,Female,disloyal Customer,21,Business travel,Business,407,5,0,5,2,5,5,5,5,5,3,4,5,5,5,39,38.0,satisfied,Converted
78188,160724,Female,Loyal Customer,47,Business travel,Business,1337,2,2,5,2,3,5,4,5,5,5,5,5,5,3,24,10.0,satisfied,Converted
79912,63150,Female,Loyal Customer,41,Business travel,Business,692,3,3,3,3,1,2,1,4,4,4,4,3,4,4,0,0.0,satisfied,Converted
56046,147036,Female,Loyal Customer,31,Business travel,Business,534,5,5,5,5,3,3,3,3,4,2,4,3,5,3,18,16.0,satisfied,Converted
73324,160464,Female,Loyal Customer,40,Business travel,Business,507,1,1,2,1,4,4,4,5,5,5,5,4,5,3,1,0.0,satisfied,Converted
92984,128571,Female,Loyal Customer,47,Personal Travel,Eco,404,4,2,4,3,4,4,4,4,4,4,4,2,4,4,9,0.0,satisfied,Converted
56703,78966,Female,Loyal Customer,36,Business travel,Eco,843,4,5,5,5,4,4,4,4,5,1,2,5,1,4,0,0.0,satisfied,Converted
60138,112413,Male,Loyal Customer,39,Business travel,Business,1846,5,5,5,5,3,4,4,5,5,5,5,3,5,5,0,0.0,satisfied,Converted
96423,67571,Female,Loyal Customer,52,Business travel,Business,836,2,2,5,2,5,5,4,5,5,5,5,3,5,4,0,1.0,satisfied,Converted
66417,105530,Male,disloyal Customer,19,Business travel,Business,631,0,0,1,4,5,1,5,5,5,4,4,5,4,5,0,0.0,satisfied,Converted
40799,51763,Male,Loyal Customer,27,Business travel,Business,1773,1,1,4,1,4,4,4,4,2,3,1,1,5,4,68,78.0,satisfied,Converted
87503,119377,Female,Loyal Customer,52,Business travel,Eco Plus,1122,4,5,5,5,2,3,2,4,4,4,4,2,4,1,15,0.0,satisfied,Converted
35594,121144,Female,Loyal Customer,40,Business travel,Business,425,3,3,3,3,3,4,4,4,4,4,4,3,4,5,0,0.0,satisfied,Converted
100756,109431,Male,Loyal Customer,42,Business travel,Business,1982,2,2,2,2,2,5,4,5,5,5,5,4,5,4,60,56.0,satisfied,Converted
80824,164291,Male,Loyal Customer,54,Business travel,Business,3730,2,2,2,2,2,4,5,5,5,5,5,3,5,5,0,4.0,satisfied,Converted
69081,45352,Female,disloyal Customer,18,Business travel,Eco,530,0,2,0,4,3,0,5,3,5,2,5,5,5,3,5,4.0,satisfied,Not Converted
35794,133283,Female,Loyal Customer,45,Business travel,Business,2327,2,2,2,2,2,4,5,4,4,4,4,5,4,5,8,9.0,satisfied,Converted
93081,101950,Female,Loyal Customer,53,Business travel,Business,190,3,3,3,3,3,5,4,5,5,4,4,4,5,4,0,0.0,satisfied,Converted
96425,166554,Female,Loyal Customer,57,Business travel,Business,1464,1,1,1,1,2,5,4,2,2,2,2,3,2,3,66,65.0,satisfied,Converted
