,id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction,conversion
76996,124416,Female,Loyal Customer,50,Business travel,Business,946,2,2,3,2,3,4,4,5,5,5,5,3,5,3,0,6.0,satisfied,Converted
72920,158703,Male,Loyal Customer,33,Business travel,Business,2334,4,4,4,4,5,4,5,5,5,4,4,3,4,5,11,9.0,satisfied,Converted
35751,103033,Male,Loyal Customer,19,Personal Travel,Eco,2475,4,5,4,3,3,4,3,3,4,5,5,4,4,3,4,0.0,satisfied,Converted
89941,155120,Male,Loyal Customer,52,Business travel,Business,3382,2,2,3,2,3,4,5,4,4,4,4,5,4,5,34,31.0,satisfied,Not Converted
92984,132218,Female,Loyal Customer,47,Personal Travel,Eco,404,4,2,4,3,4,4,4,4,4,4,4,2,4,4,9,0.0,satisfied,Converted
70433,128328,Male,Loyal Customer,39,Business travel,Business,425,1,1,1,1,5,5,5,4,4,4,4,4,4,3,0,13.0,satisfied,Converted
23646,80316,Female,Loyal Customer,46,Business travel,Business,1739,1,1,1,1,2,4,5,5,5,5,5,4,5,4,34,96.0,satisfied,Converted
48964,76240,Female,Loyal Customer,44,Business travel,Business,1069,5,5,5,5,5,4,3,4,4,4,4,2,4,2,32,33.0,satisfied,Not Converted
3659,86500,Female,Loyal Customer,40,Business travel,Business,566,5,5,5,5,1,2,1,5,5,5,5,2,5,5,0,10.0,satisfied,Converted
44649,128836,Female,Loyal Customer,40,Business travel,Business,2269,3,5,3,3,3,5,4,5,5,5,4,3,5,5,0,0.0,satisfied,Not Converted
78197,87514,Female,Loyal Customer,58,Business travel,Business,125,4,4,4,4,5,2,5,4,4,4,5,3,4,2,0,0.0,satisfied,Converted
25883,136643,Male,disloyal Customer,26,Business travel,Business,419,4,4,4,5,3,4,3,3,4,4,4,4,4,3,102,101.0,satisfied,Converted
61470,156028,Male,Loyal Customer,33,Business travel,Business,342,5,5,5,5,4,5,4,4,3,3,4,3,5,4,13,5.0,satisfied,Converted
41146,55513,Male,disloyal Customer,17,Business travel,Eco,362,4,0,4,3,5,4,5,5,1,1,4,2,2,5,0,0.0,satisfied,Converted
