,id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction,conversion
58262,151394,Female,Loyal Customer,36,Business travel,Business,3237,2,2,2,2,5,1,3,5,5,5,5,3,5,2,0,0.0,satisfied,Converted
69207,221581,Male,Loyal Customer,64,Business travel,Business,3992,3,3,4,3,3,4,5,4,4,4,4,5,4,3,0,0.0,satisfied,Converted
27657,151805,Male,Loyal Customer,41,Business travel,Business,1635,4,4,2,4,5,5,4,5,5,5,5,4,5,5,0,0.0,satisfied,Not Converted
3563,219040,Female,Loyal Customer,17,Personal Travel,Eco,544,4,5,4,3,5,4,5,5,5,3,2,5,3,5,3,7.0,satisfied,Converted
61208,97018,Male,Loyal Customer,22,Business travel,Business,2689,2,2,2,2,5,5,5,5,4,3,5,4,5,5,10,27.0,satisfied,Converted
9867,99732,Female,Loyal Customer,48,Business travel,Business,1831,5,5,2,5,2,4,4,2,2,3,2,3,2,4,0,0.0,satisfied,Converted
71839,105785,Female,Loyal Customer,58,Business travel,Business,3715,3,3,3,3,3,5,4,5,5,5,5,4,5,4,24,26.0,satisfied,Converted
99596,157211,Male,Loyal Customer,57,Business travel,Business,641,5,5,5,5,2,5,5,4,4,4,4,3,4,4,0,0.0,satisfied,Converted
83785,120406,Female,Loyal Customer,51,Business travel,Eco,793,5,5,5,5,4,3,3,5,5,5,5,5,5,4,8,3.0,satisfied,Converted
95638,189414,Male,Loyal Customer,52,Business travel,Business,3031,5,5,5,5,4,4,5,4,4,4,4,5,4,4,0,0.0,satisfied,Converted
93470,172330,Female,Loyal Customer,46,Business travel,Business,337,3,3,3,3,5,5,5,5,5,5,5,5,5,4,0,0.0,satisfied,Converted
69799,152308,Male,Loyal Customer,24,Business travel,Business,1502,4,4,3,4,4,4,4,4,3,3,5,3,5,4,5,12.0,satisfied,Converted
30397,171683,Female,Loyal Customer,46,Business travel,Business,2475,3,3,3,3,2,5,4,5,5,5,5,3,5,3,54,31.0,satisfied,Not Converted
43229,192478,Female,Loyal Customer,61,Business travel,Business,3925,1,1,1,1,5,4,5,5,5,5,5,4,5,5,0,1.0,satisfied,Converted
79224,117313,Male,Loyal Customer,38,Business travel,Business,533,3,3,3,3,1,1,4,4,4,4,4,1,4,4,0,0.0,satisfied,Not Converted
51921,178434,Male,Loyal Customer,46,Business travel,Business,3700,3,3,4,3,5,4,4,3,2,5,5,4,4,4,108,132.0,satisfied,Converted
16855,111629,Male,Loyal Customer,30,Business travel,Business,1940,0,0,0,5,1,1,1,1,5,4,2,5,3,1,0,10.0,satisfied,Not Converted
32391,102559,Male,Loyal Customer,39,Business travel,Business,3570,0,0,0,4,4,4,4,2,2,2,5,5,2,5,0,19.0,satisfied,Converted
41319,99764,Male,Loyal Customer,52,Business travel,Business,3140,5,5,5,5,4,5,4,5,5,5,5,3,5,5,0,0.0,satisfied,Converted
92628,175977,Male,Loyal Customer,57,Business travel,Business,1990,3,3,3,3,2,4,5,1,1,2,1,5,1,4,30,49.0,satisfied,Converted
101167,214200,Male,Loyal Customer,43,Business travel,Business,1460,4,2,4,4,2,4,5,4,4,4,4,4,4,3,0,0.0,satisfied,Converted
6466,144105,Female,Loyal Customer,33,Business travel,Business,599,2,2,2,2,4,1,1,3,3,3,3,3,3,5,53,51.0,satisfied,Not Converted
37646,202051,Male,Loyal Customer,34,Business travel,Business,3012,1,1,1,1,2,5,4,4,4,4,4,4,4,5,0,0.0,satisfied,Converted
92586,202416,Male,Loyal Customer,55,Business travel,Business,787,5,5,5,5,5,4,5,5,5,5,5,3,5,4,24,21.0,satisfied,Not Converted
2388,115605,Female,disloyal Customer,21,Business travel,Business,448,5,0,5,4,4,5,5,4,4,3,2,4,3,4,8,11.0,satisfied,Converted
74739,180821,Female,Loyal Customer,58,Business travel,Business,2129,4,4,4,4,5,4,4,4,4,4,4,4,4,3,0,0.0,satisfied,Converted
2320,130314,Female,Loyal Customer,53,Business travel,Business,2811,5,5,5,5,5,5,5,5,5,5,5,5,5,4,65,48.0,satisfied,Not Converted
51438,174428,Male,Loyal Customer,53,Business travel,Business,731,1,1,1,1,5,4,5,4,4,4,4,4,4,5,0,0.0,satisfied,Converted
46362,203255,Male,Loyal Customer,42,Business travel,Business,1624,2,2,2,2,2,4,4,5,5,5,5,5,5,4,0,0.0,satisfied,Not Converted
