,id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction,conversion
66861,86886,Female,Loyal Customer,43,Business travel,Business,1999,0,5,0,1,3,2,5,2,2,2,2,2,2,4,4,22.0,satisfied,Converted
15751,148074,Male,Loyal Customer,56,Business travel,Business,2434,2,2,2,2,3,5,5,5,5,5,5,5,5,4,0,0.0,satisfied,Converted
35930,129142,Female,Loyal Customer,39,Business travel,Business,1979,2,2,2,2,2,4,5,4,4,4,4,4,4,3,40,35.0,satisfied,Converted
37093,136608,Male,Loyal Customer,33,Business travel,Business,1670,5,5,5,5,4,4,4,4,1,3,4,4,1,4,0,0.0,satisfied,Converted
52441,104584,Male,disloyal Customer,24,Business travel,Business,1188,4,0,4,1,5,4,1,5,4,4,4,4,4,5,0,0.0,satisfied,Not Converted
80164,151931,Male,Loyal Customer,53,Business travel,Business,3094,1,1,1,1,5,5,5,4,4,4,4,5,4,4,72,66.0,satisfied,Converted
38733,38307,Female,Loyal Customer,60,Business travel,Business,354,3,3,3,3,5,5,5,5,5,5,5,3,5,4,9,1.0,satisfied,Converted
76001,87289,Male,Loyal Customer,51,Business travel,Business,3455,0,1,1,3,2,2,3,3,3,3,3,2,3,4,10,2.0,satisfied,Converted
90119,75273,Male,Loyal Customer,31,Business travel,Eco,1666,4,3,3,3,4,4,4,4,3,2,4,2,1,4,57,39.0,satisfied,Converted
99993,103338,Male,Loyal Customer,48,Business travel,Business,1562,3,3,1,3,3,5,5,5,5,5,5,5,5,5,50,59.0,satisfied,Converted
50785,137612,Male,Loyal Customer,68,Business travel,Business,1565,5,5,5,5,5,5,4,3,3,4,3,5,3,4,5,0.0,satisfied,Not Converted
75197,126821,Male,disloyal Customer,28,Business travel,Business,1174,5,5,5,4,3,5,3,3,4,3,5,3,4,3,15,0.0,satisfied,Converted
90902,68431,Female,Loyal Customer,46,Business travel,Eco,853,4,1,5,1,1,5,5,4,4,4,4,4,4,4,17,0.0,satisfied,Converted
88873,47859,Female,Loyal Customer,26,Business travel,Business,1977,3,3,3,3,3,3,3,3,4,5,4,5,4,3,37,33.0,satisfied,Converted
22221,108394,Male,disloyal Customer,45,Business travel,Business,867,4,4,4,2,4,4,4,4,4,3,4,3,5,4,7,0.0,satisfied,Converted
79686,139665,Male,Loyal Customer,46,Business travel,Eco,255,5,3,3,3,5,5,5,5,2,5,2,5,4,5,0,0.0,satisfied,Converted
12731,155455,Male,Loyal Customer,57,Business travel,Business,3455,2,2,2,2,2,5,4,4,4,4,4,4,4,3,0,0.0,satisfied,Not Converted
102330,52783,Male,Loyal Customer,43,Personal Travel,Eco Plus,143,5,4,5,4,3,5,3,3,3,5,3,4,3,3,0,0.0,satisfied,Converted
2724,121143,Female,Loyal Customer,35,Business travel,Business,432,3,3,3,3,5,4,5,5,5,5,5,3,5,5,0,2.0,satisfied,Converted
50682,37446,Male,Loyal Customer,48,Business travel,Business,354,1,1,1,1,3,4,5,4,4,4,4,3,4,5,15,23.0,satisfied,Converted
33064,133400,Male,Loyal Customer,39,Business travel,Business,1764,5,5,5,5,2,5,4,3,3,3,3,3,3,5,71,70.0,satisfied,Converted
75028,144075,Female,Loyal Customer,57,Business travel,Business,842,2,2,1,2,3,5,4,5,5,5,5,3,5,5,11,16.0,satisfied,Converted
86799,94006,Male,Loyal Customer,48,Business travel,Business,2133,3,3,3,3,4,3,5,5,5,5,5,4,5,4,0,0.0,satisfied,Converted
61975,147061,Male,Loyal Customer,57,Business travel,Business,1072,4,4,4,4,5,5,4,5,5,5,5,5,5,3,14,4.0,satisfied,Converted
38954,145985,Female,disloyal Customer,22,Business travel,Business,849,5,5,5,1,5,5,5,5,4,5,4,4,4,5,1,1.0,satisfied,Converted
62113,94580,Female,Loyal Customer,52,Business travel,Business,2971,0,4,0,2,1,1,1,5,4,4,5,1,3,1,147,139.0,satisfied,Not Converted
82622,113950,Male,Loyal Customer,46,Personal Travel,Business,422,4,1,2,3,1,2,3,5,5,2,5,4,5,4,0,0.0,satisfied,Converted
89559,138475,Female,Loyal Customer,39,Business travel,Business,2753,2,2,2,2,3,2,2,5,5,5,5,2,5,3,0,0.0,satisfied,Converted
26968,125073,Male,disloyal Customer,25,Business travel,Business,223,5,0,5,1,4,5,4,4,3,3,4,4,5,4,8,14.0,satisfied,Converted
537,53271,Male,Loyal Customer,28,Business travel,Business,3545,2,2,2,2,5,4,5,5,2,1,5,3,5,5,45,51.0,satisfied,Converted
6041,45447,Male,Loyal Customer,50,Business travel,Business,2370,2,2,5,2,2,4,5,3,3,3,3,4,3,4,0,4.0,satisfied,Converted
35257,36994,Female,Loyal Customer,48,Business travel,Business,173,0,5,0,4,3,5,4,5,5,5,5,5,5,4,0,0.0,satisfied,Not Converted
57273,64388,Female,Loyal Customer,43,Business travel,Business,3749,1,1,1,1,2,4,2,3,3,3,3,5,3,2,1,0.0,satisfied,Converted
39073,127104,Female,Loyal Customer,33,Business travel,Business,3348,4,4,4,4,5,5,1,5,5,5,5,3,5,1,0,0.0,satisfied,Converted
28748,100363,Female,Loyal Customer,54,Personal Travel,Eco,337,0,4,0,5,3,4,4,5,5,0,5,4,5,4,0,3.0,satisfied,Not Converted
12461,91057,Male,Loyal Customer,41,Business travel,Eco Plus,1416,5,5,2,5,5,5,5,5,5,1,4,2,5,5,52,16.0,satisfied,Converted
45903,41725,Female,Loyal Customer,38,Business travel,Business,3394,0,0,0,2,2,4,5,5,5,5,5,4,5,3,13,28.0,satisfied,Converted
16952,53203,Female,Loyal Customer,44,Business travel,Eco,748,4,2,2,2,3,2,4,4,4,4,4,1,4,2,0,0.0,satisfied,Converted
3452,85025,Female,Loyal Customer,47,Business travel,Business,2143,3,3,3,3,5,4,5,4,4,4,4,3,4,3,104,109.0,satisfied,Converted
63242,69758,Male,Loyal Customer,36,Business travel,Business,2737,1,1,1,1,2,4,1,4,4,4,3,1,4,2,0,4.0,satisfied,Converted
45978,40222,Female,Loyal Customer,47,Business travel,Business,419,2,2,2,2,5,4,4,5,5,5,5,5,5,5,9,0.0,satisfied,Converted
102514,165069,Female,Loyal Customer,31,Business travel,Business,1587,1,1,1,1,5,5,5,5,4,4,5,5,4,5,0,0.0,satisfied,Converted
7649,110571,Female,Loyal Customer,39,Business travel,Business,204,0,4,0,4,3,5,4,2,2,2,2,3,2,4,0,0.0,satisfied,Not Converted
8107,153843,Male,disloyal Customer,40,Business travel,Business,325,4,4,4,3,2,4,2,2,3,4,5,4,4,2,0,0.0,satisfied,Converted
50781,62769,Male,Loyal Customer,28,Business travel,Business,1747,4,4,4,4,4,4,4,4,3,4,3,3,4,4,4,0.0,satisfied,Converted
64338,62518,Male,Loyal Customer,32,Business travel,Business,2291,5,5,5,5,4,4,4,4,2,4,1,1,2,4,22,10.0,satisfied,Converted
82719,49493,Female,Loyal Customer,30,Business travel,Business,2944,5,5,5,5,5,5,5,5,3,1,2,4,3,5,0,0.0,satisfied,Converted
70313,136781,Male,disloyal Customer,37,Business travel,Business,534,4,4,4,3,2,4,2,2,4,4,4,5,4,2,12,1.0,satisfied,Converted
17898,107271,Female,disloyal Customer,37,Business travel,Business,334,4,4,4,1,5,4,5,5,5,5,5,3,5,5,7,0.0,satisfied,Converted
64472,123662,Male,Loyal Customer,47,Business travel,Business,1747,1,1,1,1,2,5,5,3,3,3,3,4,3,5,0,0.0,satisfied,Not Converted
93320,124009,Female,Loyal Customer,48,Business travel,Business,594,2,2,2,2,4,5,5,4,4,4,4,3,4,4,0,0.0,satisfied,Not Converted
85934,39221,Female,Loyal Customer,46,Business travel,Business,3612,3,3,5,3,5,5,5,5,5,5,5,4,5,4,94,99.0,satisfied,Converted
